name,races,wins,win_perc
Alfa Romeo,39.0,,
Arrows,40.0,,
BAR,127.0,,
BMW Sauber,120.0,1.0,0.8333333333333334
Benetton,46.0,,
Brawn,32.0,8.0,25.0
Caterham,88.0,,
Ferrari,650.0,113.0,36.55153995097338
Force India,349.0,,
HRT,79.0,,
Haas F1 Team,131.0,,
Honda,82.0,1.0,1.2195121951219512
Jaguar,95.0,,
Jordan,124.0,1.0,0.8064516129032258
Lotus,53.0,,
Lotus F1,115.0,2.0,1.7391304347826086
MF1,16.0,,
Manor Marussia,66.0,,
Marussia,94.0,,
McLaren,584.0,59.0,21.281567678493055
Mercedes,355.0,93.0,26.197183098591548
Minardi,117.0,,
Prost,34.0,,
Racing Point,38.0,,
Red Bull,468.0,62.0,21.158088235294116
Renault,399.0,20.0,9.389671361502346
Sauber,416.0,,
Spyker,20.0,,
Spyker MF1,5.0,,
Super Aguri,48.0,,
Toro Rosso,403.0,1.0,1.0869565217391304
Toyota,202.0,,
Virgin,49.0,,
Williams,586.0,11.0,4.34356824668888
