,index,driverId,position,driverRef,nationality,country,homeWin
0,0,1,1.0,hamilton,British,Australia,No
1,1,2,2.0,heidfeld,German,Australia,No
2,2,3,3.0,rosberg,German,Australia,No
3,22,8,1.0,raikkonen,Finnish,Malaysia,No
4,23,9,2.0,kubica,Polish,Malaysia,No
5,24,5,3.0,kovalainen,Finnish,Malaysia,No
6,44,13,1.0,massa,Brazilian,Bahrain,No
7,45,8,2.0,raikkonen,Finnish,Bahrain,No
8,46,9,3.0,kubica,Polish,Bahrain,No
9,66,8,1.0,raikkonen,Finnish,Spain,No
10,67,13,2.0,massa,Brazilian,Spain,No
11,68,1,3.0,hamilton,British,Spain,No
12,88,13,1.0,massa,Brazilian,Turkey,No
13,89,1,2.0,hamilton,British,Turkey,No
14,90,8,3.0,raikkonen,Finnish,Turkey,No
15,108,1,1.0,hamilton,British,Monaco,No
16,109,9,2.0,kubica,Polish,Monaco,No
17,110,13,3.0,massa,Brazilian,Monaco,No
18,128,9,1.0,kubica,Polish,Canada,No
19,129,2,2.0,heidfeld,German,Canada,No
20,130,14,3.0,coulthard,British,Canada,No
21,148,13,1.0,massa,Brazilian,France,No
22,149,8,2.0,raikkonen,Finnish,France,No
23,150,15,3.0,trulli,Italian,France,No
24,168,1,1.0,hamilton,British,UK,Yes
25,169,2,2.0,heidfeld,German,UK,No
26,170,22,3.0,barrichello,Brazilian,UK,No
27,188,1,1.0,hamilton,British,Germany,No
28,189,12,2.0,piquet_jr,Brazilian,Germany,No
29,190,13,3.0,massa,Brazilian,Germany,No
30,208,5,1.0,kovalainen,Finnish,Hungary,No
31,209,10,2.0,glock,German,Hungary,No
32,210,8,3.0,raikkonen,Finnish,Hungary,No
33,228,13,1.0,massa,Brazilian,Spain,No
34,229,1,2.0,hamilton,British,Spain,No
35,230,9,3.0,kubica,Polish,Spain,No
36,248,13,1.0,massa,Brazilian,Belgium,No
37,249,2,2.0,heidfeld,German,Belgium,No
38,250,1,3.0,hamilton,British,Belgium,No
39,268,20,1.0,vettel,German,Italy,No
40,269,5,2.0,kovalainen,Finnish,Italy,No
41,270,9,3.0,kubica,Polish,Italy,No
42,288,4,1.0,alonso,Spanish,Singapore,No
43,289,3,2.0,rosberg,German,Singapore,No
44,290,1,3.0,hamilton,British,Singapore,No
45,308,4,1.0,alonso,Spanish,Japan,No
46,309,9,2.0,kubica,Polish,Japan,No
47,310,8,3.0,raikkonen,Finnish,Japan,No
48,328,1,1.0,hamilton,British,China,No
49,329,13,2.0,massa,Brazilian,China,No
50,330,8,3.0,raikkonen,Finnish,China,No
51,348,13,1.0,massa,Brazilian,Brazil,Yes
52,349,4,2.0,alonso,Spanish,Brazil,No
53,350,8,3.0,raikkonen,Finnish,Brazil,No
54,368,8,1.0,raikkonen,Finnish,Australia,No
55,369,4,2.0,alonso,Spanish,Australia,No
56,370,1,3.0,hamilton,British,Australia,No
57,390,4,1.0,alonso,Spanish,Malaysia,No
58,391,1,2.0,hamilton,British,Malaysia,No
59,392,8,3.0,raikkonen,Finnish,Malaysia,No
60,412,13,1.0,massa,Brazilian,Bahrain,No
61,413,1,2.0,hamilton,British,Bahrain,No
62,414,8,3.0,raikkonen,Finnish,Bahrain,No
63,434,13,1.0,massa,Brazilian,Spain,No
64,435,1,2.0,hamilton,British,Spain,No
65,436,4,3.0,alonso,Spanish,Spain,Yes
66,456,4,1.0,alonso,Spanish,Monaco,No
67,457,1,2.0,hamilton,British,Monaco,No
68,458,13,3.0,massa,Brazilian,Monaco,No
69,478,1,1.0,hamilton,British,Canada,No
70,479,2,2.0,heidfeld,German,Canada,No
71,480,25,3.0,wurz,Austrian,Canada,No
72,500,1,1.0,hamilton,British,USA,No
73,501,4,2.0,alonso,Spanish,USA,No
74,502,13,3.0,massa,Brazilian,USA,No
75,522,8,1.0,raikkonen,Finnish,France,No
76,523,13,2.0,massa,Brazilian,France,No
77,524,1,3.0,hamilton,British,France,No
78,544,8,1.0,raikkonen,Finnish,UK,No
79,545,4,2.0,alonso,Spanish,UK,No
80,546,1,3.0,hamilton,British,UK,Yes
81,566,4,1.0,alonso,Spanish,Germany,No
82,567,13,2.0,massa,Brazilian,Germany,No
83,568,17,3.0,webber,Australian,Germany,No
84,588,1,1.0,hamilton,British,Hungary,No
85,589,8,2.0,raikkonen,Finnish,Hungary,No
86,590,2,3.0,heidfeld,German,Hungary,No
87,610,13,1.0,massa,Brazilian,Turkey,No
88,611,8,2.0,raikkonen,Finnish,Turkey,No
89,612,4,3.0,alonso,Spanish,Turkey,No
90,632,4,1.0,alonso,Spanish,Italy,No
91,633,1,2.0,hamilton,British,Italy,No
92,634,8,3.0,raikkonen,Finnish,Italy,No
93,654,8,1.0,raikkonen,Finnish,Belgium,No
94,655,13,2.0,massa,Brazilian,Belgium,No
95,656,4,3.0,alonso,Spanish,Belgium,No
96,676,1,1.0,hamilton,British,Japan,No
97,677,5,2.0,kovalainen,Finnish,Japan,No
98,678,8,3.0,raikkonen,Finnish,Japan,No
99,698,8,1.0,raikkonen,Finnish,China,No
100,699,4,2.0,alonso,Spanish,China,No
101,700,13,3.0,massa,Brazilian,China,No
102,720,8,1.0,raikkonen,Finnish,Brazil,No
103,721,13,2.0,massa,Brazilian,Brazil,Yes
104,722,4,3.0,alonso,Spanish,Brazil,No
105,742,4,1.0,alonso,Spanish,Bahrain,No
106,743,30,2.0,michael_schumacher,German,Bahrain,No
107,744,8,3.0,raikkonen,Finnish,Bahrain,No
108,764,21,1.0,fisichella,Italian,Malaysia,No
109,765,4,2.0,alonso,Spanish,Malaysia,No
110,766,18,3.0,button,British,Malaysia,No
111,786,4,1.0,alonso,Spanish,Australia,No
112,787,8,2.0,raikkonen,Finnish,Australia,No
113,788,23,3.0,ralf_schumacher,German,Australia,No
114,808,30,1.0,michael_schumacher,German,Italy,No
115,809,4,2.0,alonso,Spanish,Italy,No
116,810,31,3.0,montoya,Colombian,Italy,No
117,830,30,1.0,michael_schumacher,German,Germany,Yes
118,831,4,2.0,alonso,Spanish,Germany,No
119,832,13,3.0,massa,Brazilian,Germany,No
120,852,4,1.0,alonso,Spanish,Spain,Yes
121,853,30,2.0,michael_schumacher,German,Spain,No
122,854,21,3.0,fisichella,Italian,Spain,No
123,874,4,1.0,alonso,Spanish,Monaco,No
124,875,31,2.0,montoya,Colombian,Monaco,No
125,876,14,3.0,coulthard,British,Monaco,No
126,896,4,1.0,alonso,Spanish,UK,No
127,897,30,2.0,michael_schumacher,German,UK,No
128,898,8,3.0,raikkonen,Finnish,UK,No
129,918,4,1.0,alonso,Spanish,Canada,No
130,919,30,2.0,michael_schumacher,German,Canada,No
131,920,8,3.0,raikkonen,Finnish,Canada,No
132,940,30,1.0,michael_schumacher,German,USA,No
133,941,13,2.0,massa,Brazilian,USA,No
134,942,21,3.0,fisichella,Italian,USA,No
135,962,30,1.0,michael_schumacher,German,France,No
136,963,4,2.0,alonso,Spanish,France,No
137,964,13,3.0,massa,Brazilian,France,No
138,984,30,1.0,michael_schumacher,German,Germany,Yes
139,985,13,2.0,massa,Brazilian,Germany,No
140,986,8,3.0,raikkonen,Finnish,Germany,No
141,1006,18,1.0,button,British,Hungary,No
142,1007,37,2.0,rosa,Spanish,Hungary,No
143,1008,2,3.0,heidfeld,German,Hungary,No
144,1028,13,1.0,massa,Brazilian,Turkey,No
145,1029,4,2.0,alonso,Spanish,Turkey,No
146,1030,30,3.0,michael_schumacher,German,Turkey,No
147,1050,30,1.0,michael_schumacher,German,Italy,No
148,1051,8,2.0,raikkonen,Finnish,Italy,No
149,1052,9,3.0,kubica,Polish,Italy,No
150,1072,30,1.0,michael_schumacher,German,China,No
151,1073,4,2.0,alonso,Spanish,China,No
152,1074,21,3.0,fisichella,Italian,China,No
153,1094,4,1.0,alonso,Spanish,Japan,No
154,1095,13,2.0,massa,Brazilian,Japan,No
155,1096,21,3.0,fisichella,Italian,Japan,No
156,1116,13,1.0,massa,Brazilian,Brazil,Yes
157,1117,4,2.0,alonso,Spanish,Brazil,No
158,1118,18,3.0,button,British,Brazil,No
159,1138,21,1.0,fisichella,Italian,Australia,No
160,1139,22,2.0,barrichello,Brazilian,Australia,No
161,1140,4,3.0,alonso,Spanish,Australia,No
162,1158,4,1.0,alonso,Spanish,Malaysia,No
163,1159,15,2.0,trulli,Italian,Malaysia,No
164,1160,2,3.0,heidfeld,German,Malaysia,No
165,1178,4,1.0,alonso,Spanish,Bahrain,No
166,1179,15,2.0,trulli,Italian,Bahrain,No
167,1180,8,3.0,raikkonen,Finnish,Bahrain,No
168,1198,4,1.0,alonso,Spanish,Italy,No
169,1199,30,2.0,michael_schumacher,German,Italy,No
170,1200,25,3.0,wurz,Austrian,Italy,No
171,1218,8,1.0,raikkonen,Finnish,Spain,No
172,1219,4,2.0,alonso,Spanish,Spain,Yes
173,1220,15,3.0,trulli,Italian,Spain,No
174,1236,8,1.0,raikkonen,Finnish,Monaco,No
175,1237,2,2.0,heidfeld,German,Monaco,No
176,1238,17,3.0,webber,Australian,Monaco,No
177,1254,4,1.0,alonso,Spanish,Germany,No
178,1255,2,2.0,heidfeld,German,Germany,Yes
179,1256,22,3.0,barrichello,Brazilian,Germany,No
180,1274,8,1.0,raikkonen,Finnish,Canada,No
181,1275,30,2.0,michael_schumacher,German,Canada,No
182,1276,22,3.0,barrichello,Brazilian,Canada,No
183,1294,30,1.0,michael_schumacher,German,USA,No
184,1295,22,2.0,barrichello,Brazilian,USA,No
185,1296,33,3.0,monteiro,Portuguese,USA,No
186,1314,4,1.0,alonso,Spanish,France,No
187,1315,8,2.0,raikkonen,Finnish,France,No
188,1316,30,3.0,michael_schumacher,German,France,No
189,1334,31,1.0,montoya,Colombian,UK,No
190,1335,4,2.0,alonso,Spanish,UK,No
191,1336,8,3.0,raikkonen,Finnish,UK,No
192,1354,4,1.0,alonso,Spanish,Germany,No
193,1355,31,2.0,montoya,Colombian,Germany,No
194,1356,18,3.0,button,British,Germany,No
195,1374,8,1.0,raikkonen,Finnish,Hungary,No
196,1375,30,2.0,michael_schumacher,German,Hungary,No
197,1376,23,3.0,ralf_schumacher,German,Hungary,No
198,1394,8,1.0,raikkonen,Finnish,Turkey,No
199,1395,4,2.0,alonso,Spanish,Turkey,No
200,1396,31,3.0,montoya,Colombian,Turkey,No
201,1414,31,1.0,montoya,Colombian,Italy,No
202,1415,4,2.0,alonso,Spanish,Italy,No
203,1416,21,3.0,fisichella,Italian,Italy,Yes
204,1434,8,1.0,raikkonen,Finnish,Belgium,No
205,1435,4,2.0,alonso,Spanish,Belgium,No
206,1436,18,3.0,button,British,Belgium,No
207,1454,31,1.0,montoya,Colombian,Brazil,No
208,1455,8,2.0,raikkonen,Finnish,Brazil,No
209,1456,4,3.0,alonso,Spanish,Brazil,No
210,1474,8,1.0,raikkonen,Finnish,Japan,No
211,1475,21,2.0,fisichella,Italian,Japan,No
212,1476,4,3.0,alonso,Spanish,Japan,No
213,1494,4,1.0,alonso,Spanish,China,No
214,1495,8,2.0,raikkonen,Finnish,China,No
215,1496,23,3.0,ralf_schumacher,German,China,No
216,1514,30,1.0,michael_schumacher,German,Australia,No
217,1515,22,2.0,barrichello,Brazilian,Australia,No
218,1516,4,3.0,alonso,Spanish,Australia,No
219,1534,30,1.0,michael_schumacher,German,Malaysia,No
220,1535,31,2.0,montoya,Colombian,Malaysia,No
221,1536,18,3.0,button,British,Malaysia,No
222,1554,30,1.0,michael_schumacher,German,Bahrain,No
223,1555,22,2.0,barrichello,Brazilian,Bahrain,No
224,1556,18,3.0,button,British,Bahrain,No
225,1574,30,1.0,michael_schumacher,German,Italy,No
226,1575,18,2.0,button,British,Italy,No
227,1576,31,3.0,montoya,Colombian,Italy,No
228,1594,30,1.0,michael_schumacher,German,Spain,No
229,1595,22,2.0,barrichello,Brazilian,Spain,No
230,1596,15,3.0,trulli,Italian,Spain,No
231,1614,15,1.0,trulli,Italian,Monaco,No
232,1615,18,2.0,button,British,Monaco,No
233,1616,22,3.0,barrichello,Brazilian,Monaco,No
234,1634,30,1.0,michael_schumacher,German,Germany,Yes
235,1635,22,2.0,barrichello,Brazilian,Germany,No
236,1636,18,3.0,button,British,Germany,No
237,1654,30,1.0,michael_schumacher,German,Canada,No
238,1655,22,2.0,barrichello,Brazilian,Canada,No
239,1656,18,3.0,button,British,Canada,No
240,1674,30,1.0,michael_schumacher,German,USA,No
241,1675,22,2.0,barrichello,Brazilian,USA,No
242,1676,11,3.0,sato,Japanese,USA,No
243,1694,30,1.0,michael_schumacher,German,France,No
244,1695,4,2.0,alonso,Spanish,France,No
245,1696,22,3.0,barrichello,Brazilian,France,No
246,1714,30,1.0,michael_schumacher,German,UK,No
247,1715,8,2.0,raikkonen,Finnish,UK,No
248,1716,22,3.0,barrichello,Brazilian,UK,No
249,1734,30,1.0,michael_schumacher,German,Germany,Yes
250,1735,18,2.0,button,British,Germany,No
251,1736,4,3.0,alonso,Spanish,Germany,No
252,1754,30,1.0,michael_schumacher,German,Hungary,No
253,1755,22,2.0,barrichello,Brazilian,Hungary,No
254,1756,4,3.0,alonso,Spanish,Hungary,No
255,1774,8,1.0,raikkonen,Finnish,Belgium,No
256,1775,30,2.0,michael_schumacher,German,Belgium,No
257,1776,22,3.0,barrichello,Brazilian,Belgium,No
258,1794,22,1.0,barrichello,Brazilian,Italy,No
259,1795,30,2.0,michael_schumacher,German,Italy,No
260,1796,18,3.0,button,British,Italy,No
261,1814,22,1.0,barrichello,Brazilian,China,No
262,1815,18,2.0,button,British,China,No
263,1816,8,3.0,raikkonen,Finnish,China,No
264,1834,30,1.0,michael_schumacher,German,Japan,No
265,1835,23,2.0,ralf_schumacher,German,Japan,No
266,1836,18,3.0,button,British,Japan,No
267,1854,31,1.0,montoya,Colombian,Brazil,No
268,1855,8,2.0,raikkonen,Finnish,Brazil,No
269,1856,22,3.0,barrichello,Brazilian,Brazil,Yes
270,1874,14,1.0,coulthard,British,Australia,No
271,1875,31,2.0,montoya,Colombian,Australia,No
272,1876,8,3.0,raikkonen,Finnish,Australia,No
273,1894,8,1.0,raikkonen,Finnish,Malaysia,No
274,1895,22,2.0,barrichello,Brazilian,Malaysia,No
275,1896,4,3.0,alonso,Spanish,Malaysia,No
276,1914,21,1.0,fisichella,Italian,Brazil,No
277,1915,8,2.0,raikkonen,Finnish,Brazil,No
278,1916,4,3.0,alonso,Spanish,Brazil,No
279,1934,30,1.0,michael_schumacher,German,Italy,No
280,1935,8,2.0,raikkonen,Finnish,Italy,No
281,1936,22,3.0,barrichello,Brazilian,Italy,No
282,1954,30,1.0,michael_schumacher,German,Spain,No
283,1955,4,2.0,alonso,Spanish,Spain,Yes
284,1956,22,3.0,barrichello,Brazilian,Spain,No
285,1974,30,1.0,michael_schumacher,German,Austria,No
286,1975,8,2.0,raikkonen,Finnish,Austria,No
