,index,raceId,driverId,constructorId,ending_position,year,name,lap,firstlap_position,firstlap_results
0,0,841,20,9,1,2011,Australian Grand Prix,1,1.0,Winner
1,22,842,20,9,1,2011,Malaysian Grand Prix,1,1.0,Winner
2,46,843,18,1,4,2011,Chinese Grand Prix,1,1.0,No Podium
3,70,844,20,9,1,2011,Turkish Grand Prix,1,1.0,Winner
4,93,845,4,6,5,2011,Spanish Grand Prix,1,1.0,No Podium
5,117,846,20,9,1,2011,Monaco Grand Prix,1,1.0,Winner
6,140,847,20,9,2,2011,Canadian Grand Prix,1,1.0,Podium
7,164,848,20,9,1,2011,European Grand Prix,1,1.0,Winner
8,188,849,20,9,2,2011,British Grand Prix,1,1.0,Podium
9,212,850,1,1,1,2011,German Grand Prix,1,1.0,Winner
10,236,851,20,9,2,2011,Hungarian Grand Prix,1,1.0,Podium
11,260,852,3,131,6,2011,Belgian Grand Prix,1,1.0,No Podium
12,283,853,4,6,3,2011,Italian Grand Prix,1,1.0,Podium
13,304,854,20,9,1,2011,Singapore Grand Prix,1,1.0,Winner
14,328,855,20,9,3,2011,Japanese Grand Prix,1,1.0,Podium
15,352,856,20,9,1,2011,Korean Grand Prix,1,1.0,Winner
16,376,857,20,9,1,2011,Indian Grand Prix,1,1.0,Winner
17,399,858,1,1,1,2011,Abu Dhabi Grand Prix,1,1.0,Winner
18,423,859,20,9,2,2011,Brazilian Grand Prix,1,1.0,Podium
19,447,860,18,1,1,2012,Australian Grand Prix,1,1.0,Winner
20,468,861,1,1,3,2012,Malaysian Grand Prix,1,1.0,Podium
21,492,862,3,131,1,2012,Chinese Grand Prix,1,1.0,Winner
22,516,863,20,9,1,2012,Bahrain Grand Prix,1,1.0,Winner
23,540,864,4,6,2,2012,Spanish Grand Prix,1,1.0,Podium
24,564,865,17,9,1,2012,Monaco Grand Prix,1,1.0,Winner
25,585,866,20,9,4,2012,Canadian Grand Prix,1,1.0,No Podium
26,609,867,20,9,0,2012,European Grand Prix,1,1.0,No Podium
27,642,869,4,6,1,2012,German Grand Prix,1,1.0,Winner
28,656,868,4,6,2,2012,British Grand Prix,1,1.0,Podium
29,679,870,1,1,1,2012,Hungarian Grand Prix,1,1.0,Winner
30,703,871,18,1,1,2012,Belgian Grand Prix,1,1.0,Winner
31,723,872,1,1,1,2012,Italian Grand Prix,1,1.0,Winner
32,747,873,1,1,0,2012,Singapore Grand Prix,1,1.0,No Podium
33,771,874,20,9,1,2012,Japanese Grand Prix,1,1.0,Winner
34,793,875,20,9,1,2012,Korean Grand Prix,1,1.0,Winner
35,816,876,20,9,1,2012,Indian Grand Prix,1,1.0,Winner
36,840,877,1,1,0,2012,Abu Dhabi Grand Prix,1,1.0,No Podium
37,863,878,20,9,2,2012,United States Grand Prix,1,1.0,Podium
38,887,879,1,1,0,2012,Brazilian Grand Prix,1,1.0,No Podium
39,909,881,20,9,1,2013,Malaysian Grand Prix,1,1.0,Winner
40,931,880,20,9,3,2013,Australian Grand Prix,1,1.0,Podium
41,952,882,1,131,3,2013,Chinese Grand Prix,1,1.0,Podium
42,974,883,3,131,9,2013,Bahrain Grand Prix,1,1.0,No Podium
43,996,884,3,131,6,2013,Spanish Grand Prix,1,1.0,No Podium
44,1018,885,3,131,1,2013,Monaco Grand Prix,1,1.0,Winner
45,1040,886,20,9,1,2013,Canadian Grand Prix,1,1.0,Winner
46,1062,887,1,131,4,2013,British Grand Prix,1,1.0,No Podium
47,1084,888,20,9,1,2013,German Grand Prix,1,1.0,Winner
48,1106,890,1,131,1,2013,Hungarian Grand Prix,1,1.0,Winner
49,1128,891,20,9,1,2013,Belgian Grand Prix,1,1.0,Winner
50,1150,892,20,9,1,2013,Italian Grand Prix,1,1.0,Winner
51,1171,893,20,9,1,2013,Singapore Grand Prix,1,1.0,Winner
52,1193,894,20,9,1,2013,Korean Grand Prix,1,1.0,Winner
53,1215,895,154,208,3,2013,Japanese Grand Prix,1,1.0,Podium
54,1235,896,20,9,1,2013,Indian Grand Prix,1,1.0,Winner
55,1257,897,20,9,1,2013,Abu Dhabi Grand Prix,1,1.0,Winner
56,1278,898,20,9,1,2013,United States Grand Prix,1,1.0,Winner
57,1299,899,20,9,1,2013,Brazilian Grand Prix,1,1.0,Winner
58,1321,900,3,131,1,2014,Australian Grand Prix,1,1.0,Winner
59,1341,901,1,131,1,2014,Malaysian Grand Prix,1,1.0,Winner
60,1362,902,1,131,1,2014,Bahrain Grand Prix,1,1.0,Winner
61,1384,903,1,131,1,2014,Chinese Grand Prix,1,1.0,Winner
62,1406,904,1,131,1,2014,Spanish Grand Prix,1,1.0,Winner
63,1428,905,3,131,1,2014,Monaco Grand Prix,1,1.0,Winner
64,1448,906,3,131,2,2014,Canadian Grand Prix,1,1.0,Podium
65,1468,907,13,3,4,2014,Austrian Grand Prix,1,1.0,No Podium
66,1490,908,3,131,0,2014,British Grand Prix,1,1.0,No Podium
67,1510,909,3,131,1,2014,German Grand Prix,1,1.0,Winner
68,1531,910,3,131,4,2014,Hungarian Grand Prix,1,1.0,No Podium
69,1560,911,1,131,0,2014,Belgian Grand Prix,1,1.0,No Podium
70,1575,912,3,131,2,2014,Italian Grand Prix,1,1.0,Podium
71,1597,913,1,131,1,2014,Singapore Grand Prix,1,1.0,Winner
72,1618,914,3,131,2,2014,Japanese Grand Prix,1,1.0,Podium
73,1640,915,1,131,1,2014,Russian Grand Prix,1,1.0,Winner
74,1661,916,3,131,2,2014,United States Grand Prix,1,1.0,Podium
75,1680,918,1,131,1,2014,Abu Dhabi Grand Prix,1,1.0,Winner
76,1702,926,1,131,1,2015,Australian Grand Prix,1,1.0,Winner
77,1711,927,1,131,2,2015,Malaysian Grand Prix,1,1.0,Podium
78,1730,928,1,131,1,2015,Chinese Grand Prix,1,1.0,Winner
79,1750,929,1,131,1,2015,Bahrain Grand Prix,1,1.0,Winner
80,1769,930,3,131,1,2015,Spanish Grand Prix,1,1.0,Winner
81,1789,931,1,131,3,2015,Monaco Grand Prix,1,1.0,Podium
82,1809,932,1,131,1,2015,Canadian Grand Prix,1,1.0,Winner
83,1829,933,3,131,1,2015,Austrian Grand Prix,1,1.0,Winner
84,1847,934,13,3,4,2015,British Grand Prix,1,1.0,No Podium
85,1863,936,20,6,1,2015,Hungarian Grand Prix,1,1.0,Winner
86,1883,937,1,131,1,2015,Belgian Grand Prix,1,1.0,Winner
87,1902,938,1,131,1,2015,Italian Grand Prix,1,1.0,Winner
88,1922,939,20,6,1,2015,Singapore Grand Prix,1,1.0,Winner
89,1942,940,1,131,1,2015,Japanese Grand Prix,1,1.0,Winner
90,1962,941,3,131,0,2015,Russian Grand Prix,1,1.0,No Podium
91,1980,942,1,131,1,2015,United States Grand Prix,1,1.0,Winner
92,2000,943,3,131,1,2015,Mexican Grand Prix,1,1.0,Winner
93,2020,944,3,131,1,2015,Brazilian Grand Prix,1,1.0,Winner
94,2039,945,3,131,1,2015,Abu Dhabi Grand Prix,1,1.0,Winner
95,2058,948,20,6,3,2016,Australian Grand Prix,1,1.0,Podium
96,2079,949,3,131,1,2016,Bahrain Grand Prix,1,1.0,Winner
97,2104,224,35,3,2,1996,Australian Grand Prix,1,1.0,Podium
98,2122,225,71,3,1,1996,Brazilian Grand Prix,1,1.0,Winner
99,2143,226,71,3,1,1996,Argentine Grand Prix,1,1.0,Winner
100,2166,227,35,3,1,1996,European Grand Prix,1,1.0,Winner
101,2188,228,14,1,0,1996,San Marino Grand Prix,1,1.0,No Podium
102,2205,229,71,3,0,1996,Monaco Grand Prix,1,1.0,No Podium
103,2223,230,35,3,3,1996,Spanish Grand Prix,1,1.0,Podium
104,2239,231,71,3,1,1996,Canadian Grand Prix,1,1.0,Winner
105,2260,232,71,3,1,1996,French Grand Prix,1,1.0,Winner
106,2283,233,35,3,1,1996,British Grand Prix,1,1.0,Winner
107,2301,234,77,22,13,1996,German Grand Prix,1,1.0,No Podium
108,2316,235,30,6,9,1996,Hungarian Grand Prix,1,1.0,No Podium
109,2340,236,35,3,2,1996,Belgian Grand Prix,1,1.0,Podium
