,resultId,NN_Outcome,NN_Bin
1,23380,1,1
821,24204,2,1
401,23783,3,1
0,23379,4,2
16,23395,5,2
823,24206,6,2
400,23782,7,3
402,23784,8,3
3,23382,9,3
824,24207,10,3
822,24205,11,4
4,23383,12,4
403,23785,13,4
405,23787,14,4
416,23798,15,4
831,24214,16,4
19,23398,17,4
13,23392,18,4
825,24208,19,4
404,23786,20,4
837,24220,21,4
820,24203,22,4
415,23797,23,4
2,23381,24,4
9,23388,25,4
827,24210,26,4
406,23788,27,4
411,23793,28,4
408,23790,29,4
12,23391,30,4
14,23393,31,4
5,23384,32,4
10,23389,33,4
838,24221,34,4
826,24209,35,4
830,24213,36,4
8,23387,37,4
18,23397,38,4
413,23795,39,4
409,23791,40,4
833,24216,41,4
832,24215,42,4
6,23385,43,4
834,24217,44,4
7,23386,45,4
839,24222,46,4
407,23789,47,4
828,24211,48,4
829,24212,49,4
410,23792,50,4
17,23396,51,4
414,23796,52,4
11,23390,53,4
419,23801,54,4
15,23394,55,4
418,23800,56,4
417,23799,57,4
835,24218,58,4
836,24219,59,4
412,23794,60,4
20,23399,1,1
840,24223,2,1
420,23802,3,1
21,23400,4,2
422,23804,5,2
844,24227,6,2
437,23819,7,3
842,24225,8,3
439,23821,9,3
23,23402,10,3
24,23403,11,4
843,24226,12,4
424,23806,13,4
852,24235,14,4
429,23811,15,4
25,23404,16,4
35,23414,17,4
31,23410,18,4
421,23803,19,4
423,23805,20,4
27,23406,21,4
427,23809,22,4
426,23808,23,4
847,24230,24,4
438,23820,25,4
22,23401,26,4
845,24228,27,4
841,24224,28,4
29,23408,29,4
425,23807,30,4
859,24242,31,4
37,23416,32,4
857,24240,33,4
846,24229,34,4
39,23418,35,4
430,23812,36,4
33,23412,37,4
858,24241,38,4
432,23814,39,4
30,23409,40,4
28,23407,41,4
32,23411,42,4
856,24239,43,4
435,23817,44,4
436,23818,45,4
36,23415,46,4
848,24231,47,4
849,24232,48,4
26,23405,49,4
34,23413,50,4
850,24233,51,4
434,23816,52,4
851,24234,53,4
853,24236,54,4
428,23810,55,4
433,23815,56,4
38,23417,57,4
854,24237,58,4
431,23813,59,4
855,24238,60,4
41,23420,1,1
860,24243,2,1
443,23825,3,1
447,23829,4,2
40,23419,5,2
862,24245,6,2
44,23423,7,3
442,23824,8,3
43,23422,9,3
865,24248,10,3
440,23822,11,4
57,23436,12,4
444,23826,13,4
863,24246,14,4
869,24252,15,4
864,24247,16,4
42,23421,17,4
861,24244,18,4
441,23823,19,4
47,23426,20,4
450,23832,21,4
49,23428,22,4
446,23828,23,4
445,23827,24,4
52,23431,25,4
59,23438,26,4
866,24249,27,4
872,24255,28,4
879,24262,29,4
48,23427,30,4
53,23432,31,4
449,23831,32,4
452,23834,33,4
58,23437,34,4
456,23838,35,4
870,24253,36,4
45,23424,37,4
448,23830,38,4
868,24251,39,4
56,23435,40,4
873,24256,41,4
877,24260,42,4
50,23429,43,4
451,23833,44,4
51,23430,45,4
878,24261,46,4
55,23434,47,4
867,24250,48,4
46,23425,49,4
459,23841,50,4
454,23836,51,4
871,24254,52,4
457,23839,53,4
54,23433,54,4
453,23835,55,4
455,23837,56,4
876,24259,57,4
875,24258,58,4
874,24257,59,4
458,23840,60,4
63,23442,1,1
460,23842,2,1
881,24264,3,1
896,24279,4,2
476,23858,5,2
61,23440,6,2
463,23845,7,3
882,24265,8,3
62,23441,9,3
473,23855,10,3
889,24272,11,4
880,24263,12,4
897,24280,13,4
887,24270,14,4
461,23843,15,4
899,24282,16,4
885,24268,17,4
76,23455,18,4
895,24278,19,4
883,24266,20,4
466,23848,21,4
475,23857,22,4
884,24267,23,4
474,23856,24,4
892,24275,25,4
478,23860,26,4
472,23854,27,4
462,23844,28,4
72,23451,29,4
886,24269,30,4
64,23443,31,4
477,23859,32,4
60,23439,33,4
467,23849,34,4
479,23861,35,4
898,24281,36,4
464,23846,37,4
893,24276,38,4
888,24271,39,4
66,23445,40,4
890,24273,41,4
73,23452,42,4
77,23456,43,4
79,23458,44,4
68,23447,45,4
465,23847,46,4
468,23850,47,4
894,24277,48,4
67,23446,49,4
891,24274,50,4
471,23853,51,4
470,23852,52,4
78,23457,53,4
469,23851,54,4
70,23449,55,4
71,23450,56,4
65,23444,57,4
75,23454,58,4
69,23448,59,4
74,23453,60,4
80,23459,1,1
480,23862,2,1
900,24283,3,1
81,23460,4,2
903,24286,5,2
483,23865,6,2
905,24288,7,3
99,23478,8,3
82,23461,9,3
91,23470,10,3
496,23878,11,4
484,23866,12,4
487,23869,13,4
482,23864,14,4
902,24285,15,4
98,23477,16,4
912,24295,17,4
904,24287,18,4
901,24284,19,4
481,23863,20,4
96,23475,21,4
909,24292,22,4
485,23867,23,4
906,24289,24,4
84,23463,25,4
919,24302,26,4
93,23472,27,4
495,23877,28,4
497,23879,29,4
494,23876,30,4
97,23476,31,4
89,23468,32,4
911,24294,33,4
85,23464,34,4
486,23868,35,4
910,24293,36,4
498,23880,37,4
92,23471,38,4
499,23881,39,4
94,23473,40,4
907,24290,41,4
913,24296,42,4
83,23462,43,4
908,24291,44,4
87,23466,45,4
86,23465,46,4
918,24301,47,4
490,23872,48,4
488,23870,49,4
489,23871,50,4
95,23474,51,4
493,23875,52,4
915,24298,53,4
914,24297,54,4
88,23467,55,4
90,23469,56,4
491,23873,57,4
492,23874,58,4
916,24299,59,4
917,24300,60,4
920,24306,1,1
502,23884,2,1
100,23479,3,1
501,23883,4,2
101,23480,5,2
921,24307,6,2
500,23882,7,3
106,23485,8,3
102,23481,9,3
503,23885,10,3
924,24310,11,4
923,24309,12,4
519,23901,13,4
104,23483,14,4
931,24317,15,4
107,23486,16,4
928,24314,17,4
505,23887,18,4
922,24308,19,4
103,23482,20,4
109,23488,21,4
929,24315,22,4
111,23490,23,4
504,23886,24,4
115,23494,25,4
513,23895,26,4
930,24316,27,4
119,23498,28,4
933,24319,29,4
507,23889,30,4
512,23894,31,4
927,24313,32,4
508,23890,33,4
514,23896,34,4
925,24311,35,4
506,23888,36,4
936,24322,37,4
509,23891,38,4
112,23491,39,4
110,23489,40,4
926,24312,41,4
939,24325,42,4
511,23893,43,4
515,23897,44,4
105,23484,45,4
113,23492,46,4
