,resultId,RNF_Outcome,RNF_Bin
0,23379,1,1
401,23783,2,1
822,24205,3,1
2,23381,4,2
402,23784,5,2
405,23787,6,2
820,24203,7,3
4,23383,8,3
415,23797,9,3
416,23798,10,3
824,24207,11,4
1,23380,12,4
19,23398,13,4
821,24204,14,4
825,24208,15,4
837,24220,16,4
3,23382,17,4
5,23384,18,4
6,23385,19,4
7,23386,20,4
8,23387,21,4
9,23388,22,4
10,23389,23,4
11,23390,24,4
12,23391,25,4
13,23392,26,4
14,23393,27,4
15,23394,28,4
16,23395,29,4
17,23396,30,4
18,23397,31,4
400,23782,32,4
403,23785,33,4
404,23786,34,4
406,23788,35,4
407,23789,36,4
408,23790,37,4
409,23791,38,4
410,23792,39,4
411,23793,40,4
412,23794,41,4
413,23795,42,4
414,23796,43,4
417,23799,44,4
418,23800,45,4
419,23801,46,4
823,24206,47,4
826,24209,48,4
827,24210,49,4
828,24211,50,4
829,24212,51,4
830,24213,52,4
831,24214,53,4
832,24215,54,4
833,24216,55,4
834,24217,56,4
835,24218,57,4
836,24219,58,4
838,24221,59,4
839,24222,60,4
20,23399,1,1
437,23819,2,1
842,24225,3,1
840,24223,4,2
420,23802,5,2
439,23821,6,2
844,24227,7,3
21,23400,8,3
25,23404,9,3
421,23803,10,3
422,23804,11,4
23,23402,12,4
24,23403,13,4
35,23414,14,4
423,23805,15,4
426,23808,16,4
841,24224,17,4
843,24226,18,4
846,24229,19,4
22,23401,20,4
26,23405,21,4
27,23406,22,4
28,23407,23,4
29,23408,24,4
30,23409,25,4
31,23410,26,4
32,23411,27,4
33,23412,28,4
34,23413,29,4
36,23415,30,4
37,23416,31,4
38,23417,32,4
39,23418,33,4
424,23806,34,4
425,23807,35,4
427,23809,36,4
428,23810,37,4
429,23811,38,4
430,23812,39,4
431,23813,40,4
432,23814,41,4
433,23815,42,4
434,23816,43,4
435,23817,44,4
436,23818,45,4
438,23820,46,4
845,24228,47,4
847,24230,48,4
848,24231,49,4
849,24232,50,4
850,24233,51,4
851,24234,52,4
852,24235,53,4
853,24236,54,4
854,24237,55,4
855,24238,56,4
856,24239,57,4
857,24240,58,4
858,24241,59,4
859,24242,60,4
41,23420,1,1
447,23829,2,1
860,24243,3,1
42,23421,4,2
44,23423,5,2
861,24244,6,2
442,23824,7,3
443,23825,8,3
444,23826,9,3
863,24246,10,3
865,24248,11,4
57,23436,12,4
440,23822,13,4
441,23823,14,4
864,24247,15,4
869,24252,16,4
40,23419,17,4
43,23422,18,4
45,23424,19,4
46,23425,20,4
47,23426,21,4
48,23427,22,4
49,23428,23,4
50,23429,24,4
51,23430,25,4
52,23431,26,4
53,23432,27,4
54,23433,28,4
55,23434,29,4
56,23435,30,4
58,23437,31,4
59,23438,32,4
445,23827,33,4
446,23828,34,4
448,23830,35,4
449,23831,36,4
450,23832,37,4
451,23833,38,4
452,23834,39,4
453,23835,40,4
454,23836,41,4
455,23837,42,4
456,23838,43,4
457,23839,44,4
458,23840,45,4
459,23841,46,4
862,24245,47,4
866,24249,48,4
867,24250,49,4
868,24251,50,4
870,24253,51,4
871,24254,52,4
872,24255,53,4
873,24256,54,4
874,24257,55,4
875,24258,56,4
876,24259,57,4
877,24260,58,4
878,24261,59,4
879,24262,60,4
880,24263,1,1
61,23440,2,1
460,23842,3,1
463,23845,4,2
881,24264,5,2
889,24272,6,2
62,23441,7,3
60,23439,8,3
473,23855,9,3
475,23857,10,3
883,24266,11,4
895,24278,12,4
896,24279,13,4
63,23442,14,4
64,23443,15,4
65,23444,16,4
66,23445,17,4
67,23446,18,4
68,23447,19,4
69,23448,20,4
70,23449,21,4
71,23450,22,4
72,23451,23,4
73,23452,24,4
74,23453,25,4
75,23454,26,4
76,23455,27,4
77,23456,28,4
78,23457,29,4
79,23458,30,4
461,23843,31,4
462,23844,32,4
464,23846,33,4
465,23847,34,4
466,23848,35,4
467,23849,36,4
468,23850,37,4
469,23851,38,4
470,23852,39,4
471,23853,40,4
472,23854,41,4
474,23856,42,4
476,23858,43,4
477,23859,44,4
478,23860,45,4
479,23861,46,4
882,24265,47,4
884,24267,48,4
885,24268,49,4
886,24269,50,4
887,24270,51,4
888,24271,52,4
890,24273,53,4
891,24274,54,4
892,24275,55,4
893,24276,56,4
894,24277,57,4
897,24280,58,4
898,24281,59,4
899,24282,60,4
902,24285,1,1
98,23477,2,1
482,23864,3,1
901,24284,4,2
80,23459,5,2
96,23475,6,2
480,23862,7,3
904,24287,8,3
81,23460,9,3
481,23863,10,3
496,23878,11,4
900,24283,12,4
905,24288,13,4
912,24295,14,4
82,23461,15,4
83,23462,16,4
84,23463,17,4
85,23464,18,4
86,23465,19,4
87,23466,20,4
88,23467,21,4
89,23468,22,4
90,23469,23,4
91,23470,24,4
92,23471,25,4
93,23472,26,4
94,23473,27,4
95,23474,28,4
97,23476,29,4
99,23478,30,4
483,23865,31,4
484,23866,32,4
485,23867,33,4
486,23868,34,4
487,23869,35,4
488,23870,36,4
489,23871,37,4
490,23872,38,4
491,23873,39,4
492,23874,40,4
493,23875,41,4
494,23876,42,4
495,23877,43,4
497,23879,44,4
498,23880,45,4
499,23881,46,4
903,24286,47,4
906,24289,48,4
907,24290,49,4
908,24291,50,4
909,24292,51,4
910,24293,52,4
911,24294,53,4
913,24296,54,4
914,24297,55,4
915,24298,56,4
916,24299,57,4
917,24300,58,4
918,24301,59,4
919,24302,60,4
502,23884,1,1
101,23480,2,1
106,23485,3,1
500,23882,4,2
103,23482,5,2
920,24306,6,2
100,23479,7,3
104,23483,8,3
105,23484,9,3
501,23883,10,3
505,23887,11,4
922,24308,12,4
923,24309,13,4
928,24314,14,4
102,23481,15,4
107,23486,16,4
108,23487,17,4
109,23488,18,4
110,23489,19,4
111,23490,20,4
