,resultId,NN_Outcome,NN_Bin
1,23380,1,1
0,23379,2,1
16,23395,3,1
3,23382,4,2
4,23383,5,2
2,23381,6,2
13,23392,7,3
18,23397,8,3
9,23388,9,3
12,23391,10,3
19,23398,11,4
10,23389,12,4
14,23393,13,4
7,23386,14,4
8,23387,15,4
5,23384,16,4
6,23385,17,4
11,23390,18,4
17,23396,19,4
15,23394,20,4
20,23399,1,1
21,23400,2,1
24,23403,3,1
23,23402,4,2
25,23404,5,2
35,23414,6,2
22,23401,7,3
31,23410,8,3
29,23408,9,3
37,23416,10,3
32,23411,11,4
27,23406,12,4
26,23405,13,4
30,23409,14,4
39,23418,15,4
33,23412,16,4
28,23407,17,4
34,23413,18,4
36,23415,19,4
38,23417,20,4
41,23420,1,1
40,23419,2,1
44,23423,3,1
43,23422,4,2
57,23436,5,2
42,23421,6,2
52,23431,7,3
53,23432,8,3
48,23427,9,3
59,23438,10,3
47,23426,11,4
49,23428,12,4
58,23437,13,4
50,23429,14,4
55,23434,15,4
45,23424,16,4
56,23435,17,4
51,23430,18,4
54,23433,19,4
46,23425,20,4
63,23442,1,1
61,23440,2,1
62,23441,3,1
64,23443,4,2
76,23455,5,2
66,23445,6,2
60,23439,7,3
67,23446,8,3
77,23456,9,3
79,23458,10,3
73,23452,11,4
78,23457,12,4
65,23444,13,4
72,23451,14,4
68,23447,15,4
70,23449,16,4
71,23450,17,4
69,23448,18,4
75,23454,19,4
74,23453,20,4
80,23459,1,1
81,23460,2,1
99,23478,3,1
98,23477,4,2
82,23461,5,2
91,23470,6,2
96,23475,7,3
84,23463,8,3
94,23473,9,3
97,23476,10,3
85,23464,11,4
89,23468,12,4
93,23472,13,4
86,23465,14,4
87,23466,15,4
83,23462,16,4
92,23471,17,4
90,23469,18,4
88,23467,19,4
95,23474,20,4
100,23479,1,1
101,23480,2,1
106,23485,3,1
102,23481,4,2
104,23483,5,2
103,23482,6,2
110,23489,7,3
107,23486,8,3
111,23490,9,3
115,23494,10,3
119,23498,11,4
109,23488,12,4
105,23484,13,4
117,23496,14,4
112,23491,15,4
113,23492,16,4
118,23497,17,4
114,23493,18,4
116,23495,19,4
108,23487,20,4
120,23499,1,1
123,23502,2,1
122,23501,3,1
126,23505,4,2
137,23516,5,2
121,23500,6,2
130,23509,7,3
135,23514,8,3
125,23504,9,3
133,23512,10,3
127,23506,11,4
129,23508,12,4
131,23510,13,4
139,23518,14,4
136,23515,15,4
124,23503,16,4
138,23517,17,4
134,23513,18,4
132,23511,19,4
128,23507,20,4
144,23523,1,1
143,23522,2,1
141,23520,3,1
153,23532,4,2
157,23536,5,2
140,23519,6,2
156,23535,7,3
145,23524,8,3
142,23521,9,3
152,23531,10,3
148,23527,11,4
155,23534,12,4
151,23530,13,4
149,23528,14,4
146,23525,15,4
159,23538,16,4
154,23533,17,4
150,23529,18,4
147,23526,19,4
158,23537,20,4
163,23545,1,1
161,23543,2,1
164,23546,3,1
162,23544,4,2
179,23561,5,2
160,23542,6,2
167,23549,7,3
165,23547,8,3
171,23553,9,3
178,23560,10,3
170,23552,11,4
172,23554,12,4
177,23559,13,4
176,23558,14,4
166,23548,15,4
169,23551,16,4
175,23557,17,4
173,23555,18,4
168,23550,19,4
174,23556,20,4
180,23562,1,1
186,23568,2,1
182,23564,3,1
183,23565,4,2
187,23569,5,2
185,23567,6,2
199,23581,7,3
190,23572,8,3
181,23563,9,3
192,23574,10,3
184,23566,11,4
197,23579,12,4
191,23573,13,4
188,23570,14,4
198,23580,15,4
196,23578,16,4
194,23576,17,4
195,23577,18,4
193,23575,19,4
189,23571,20,4
203,23585,1,1
200,23582,2,1
201,23583,3,1
219,23601,4,2
204,23586,5,2
205,23587,6,2
202,23584,7,3
211,23593,8,3
208,23590,9,3
209,23591,10,3
218,23600,11,4
216,23598,12,4
212,23594,13,4
206,23588,14,4
210,23592,15,4
214,23596,16,4
207,23589,17,4
213,23595,18,4
217,23599,19,4
215,23597,20,4
220,23602,1,1
221,23603,2,1
223,23605,3,1
238,23620,4,2
222,23604,5,2
237,23619,6,2
224,23606,7,3
228,23610,8,3
225,23607,9,3
232,23614,10,3
226,23608,11,4
233,23615,12,4
234,23616,13,4
229,23611,14,4
236,23618,15,4
239,23621,16,4
230,23612,17,4
231,23613,18,4
235,23617,19,4
227,23609,20,4
240,23622,1,1
242,23624,2,1
245,23627,3,1
244,23626,4,2
249,23631,5,2
241,23623,6,2
259,23641,7,3
258,23640,8,3
250,23632,9,3
246,23628,10,3
252,23634,11,4
254,23636,12,4
256,23638,13,4
255,23637,14,4
243,23625,15,4
251,23633,16,4
253,23635,17,4
248,23630,18,4
257,23639,19,4
247,23629,20,4
277,23659,1,1
260,23642,2,1
261,23643,3,1
278,23660,4,2
279,23661,5,2
276,23658,6,2
265,23647,7,3
266,23648,8,3
268,23650,9,3
269,23651,10,3
273,23655,11,4
262,23644,12,4
272,23654,13,4
263,23645,14,4
271,23653,15,4
264,23646,16,4
275,23657,17,4
274,23656,18,4
267,23649,19,4
270,23652,20,4
281,23663,1,1
299,23681,2,1
280,23662,3,1
282,23664,4,2
284,23666,5,2
290,23672,6,2
289,23671,7,3
294,23676,8,3
295,23677,9,3
286,23668,10,3
283,23665,11,4
292,23674,12,4
291,23673,13,4
285,23667,14,4
298,23680,15,4
296,23678,16,4
293,23675,17,4
287,23669,18,4
288,23670,19,4
297,23679,20,4
300,23682,1,1
318,23700,2,1
302,23684,3,1
301,23683,4,2
305,23687,5,2
304,23686,6,2
311,23693,7,3
303,23685,8,3
313,23695,9,3
308,23690,10,3
307,23689,11,4
316,23698,12,4
310,23692,13,4
306,23688,14,4
314,23696,15,4
319,23701,16,4
312,23694,17,4
309,23691,18,4
317,23699,19,4
315,23697,20,4
320,23702,1,1
321,23703,2,1
337,23719,3,1
336,23718,4,2
324,23706,5,2
322,23704,6,2
325,23707,7,3
326,23708,8,3
323,23705,9,3
333,23715,10,3
331,23713,11,4
335,23717,12,4
338,23720,13,4
328,23710,14,4
339,23721,15,4
334,23716,16,4
330,23712,17,4
329,23711,18,4
332,23714,19,4
327,23709,20,4
348,23730,1,1
343,23725,2,1
340,23722,3,1
342,23724,4,2
355,23737,5,2
341,23723,6,2
344,23726,7,3
358,23740,8,3
349,23731,9,3
354,23736,10,3
359,23741,11,4
353,23735,12,4
345,23727,13,4
351,23733,14,4
346,23728,15,4
