,resultId,name,driverRef,constructorRef,Outcome,Bin,CL_Outcome,CL_Bin,SVM_Outcome,SVM_Bin,RNF_Outcome,RNF_Bin,NN_Outcome,NN_Bin
0,23379,Australian Grand Prix,vettel,ferrari,1,1,2,1,3,1,1,1,2,1
1,23380,Australian Grand Prix,hamilton,mercedes,2,1,1,1,1,1,4,2,1,1
2,23381,Australian Grand Prix,bottas,mercedes,3,1,5,2,19,4,2,1,6,2
3,23382,Australian Grand Prix,raikkonen,ferrari,4,2,4,2,4,2,6,2,4,2
4,23383,Australian Grand Prix,max_verstappen,red_bull,5,2,8,3,12,4,3,1,5,2
5,23384,Australian Grand Prix,massa,williams,6,2,7,3,5,2,7,3,16,4
6,23385,Australian Grand Prix,perez,force_india,7,3,12,4,6,2,8,3,17,4
7,23386,Australian Grand Prix,sainz,toro_rosso,8,3,9,3,11,4,9,3,14,4
8,23387,Australian Grand Prix,kvyat,toro_rosso,9,3,10,3,8,3,10,3,15,4
9,23388,Australian Grand Prix,ocon,force_india,10,3,14,4,7,3,11,4,9,3
10,23389,Australian Grand Prix,hulkenberg,renault,11,4,13,4,10,3,12,4,12,4
11,23390,Australian Grand Prix,giovinazzi,sauber,12,4,16,4,13,4,13,4,18,4
12,23391,Australian Grand Prix,vandoorne,mclaren,13,4,18,4,16,4,14,4,10,3
13,23392,Australian Grand Prix,alonso,mclaren,0,4,11,4,2,1,15,4,7,3
14,23393,Australian Grand Prix,kevin_magnussen,haas,0,4,17,4,20,4,16,4,13,4
15,23394,Australian Grand Prix,stroll,williams,0,4,20,4,18,4,17,4,20,4
16,23395,Australian Grand Prix,ricciardo,red_bull,0,4,3,1,14,4,18,4,3,1
17,23396,Australian Grand Prix,ericsson,sauber,0,4,15,4,9,3,19,4,19,4
18,23397,Australian Grand Prix,jolyon_palmer,renault,0,4,19,4,17,4,20,4,8,3
19,23398,Australian Grand Prix,grosjean,haas,0,4,6,2,15,4,5,2,11,4
20,23399,Chinese Grand Prix,hamilton,mercedes,1,1,1,1,1,1,1,1,1,1
21,23400,Chinese Grand Prix,vettel,ferrari,2,1,2,1,4,2,2,1,2,1
22,23401,Chinese Grand Prix,max_verstappen,red_bull,3,1,16,4,15,4,7,3,7,3
23,23402,Chinese Grand Prix,ricciardo,red_bull,4,2,6,2,7,3,4,2,4,2
24,23403,Chinese Grand Prix,raikkonen,ferrari,5,2,3,1,3,1,5,2,3,1
25,23404,Chinese Grand Prix,bottas,mercedes,6,2,4,2,2,1,3,1,5,2
26,23405,Chinese Grand Prix,sainz,toro_rosso,7,3,12,4,11,4,8,3,13,4
