,resultId,SVM_Outcome,SVM_Bin
1,23380,1,1
13,23392,2,1
0,23379,3,1
3,23382,4,2
5,23384,5,2
6,23385,6,2
9,23388,7,3
8,23387,8,3
17,23396,9,3
10,23389,10,3
7,23386,11,4
4,23383,12,4
11,23390,13,4
16,23395,14,4
19,23398,15,4
12,23391,16,4
18,23397,17,4
15,23394,18,4
2,23381,19,4
14,23393,20,4
20,23399,1,1
25,23404,2,1
24,23403,3,1
21,23400,4,2
35,23414,5,2
33,23412,6,2
23,23402,7,3
28,23407,8,3
31,23410,9,3
36,23415,10,3
26,23405,11,4
39,23418,12,4
34,23413,13,4
37,23416,14,4
22,23401,15,4
29,23408,16,4
38,23417,17,4
32,23411,18,4
27,23406,19,4
30,23409,20,4
41,23420,1,1
52,23431,2,1
57,23436,3,1
51,23430,4,2
56,23435,5,2
40,23419,6,2
44,23423,7,3
50,23429,8,3
48,23427,9,3
49,23428,10,3
43,23422,11,4
42,23421,12,4
55,23434,13,4
59,23438,14,4
45,23424,15,4
53,23432,16,4
46,23425,17,4
54,23433,18,4
47,23426,19,4
58,23437,20,4
63,23442,1,1
60,23439,2,1
61,23440,3,1
62,23441,4,2
76,23455,5,2
72,23451,6,2
64,23443,7,3
68,23447,8,3
67,23446,9,3
65,23444,10,3
66,23445,11,4
70,23449,12,4
71,23450,13,4
69,23448,14,4
73,23452,15,4
77,23456,16,4
75,23454,17,4
74,23453,18,4
78,23457,19,4
79,23458,20,4
80,23459,1,1
84,23463,2,1
98,23477,3,1
83,23462,4,2
82,23461,5,2
81,23460,6,2
86,23465,7,3
85,23464,8,3
99,23478,9,3
87,23466,10,3
94,23473,11,4
90,23469,12,4
95,23474,13,4
88,23467,14,4
91,23470,15,4
97,23476,16,4
92,23471,17,4
96,23475,18,4
93,23472,19,4
89,23468,20,4
101,23480,1,1
100,23479,2,1
104,23483,3,1
102,23481,4,2
105,23484,5,2
112,23491,6,2
113,23492,7,3
115,23494,8,3
119,23498,9,3
111,23490,10,3
110,23489,11,4
114,23493,12,4
118,23497,13,4
116,23495,14,4
103,23482,15,4
108,23487,16,4
117,23496,17,4
107,23486,18,4
109,23488,19,4
106,23485,20,4
120,23499,1,1
123,23502,2,1
135,23514,3,1
126,23505,4,2
138,23517,5,2
128,23507,6,2
133,23512,7,3
130,23509,8,3
132,23511,9,3
134,23513,10,3
139,23518,11,4
136,23515,12,4
127,23506,13,4
125,23504,14,4
124,23503,15,4
122,23501,16,4
137,23516,17,4
129,23508,18,4
121,23500,19,4
131,23510,20,4
144,23523,1,1
141,23520,2,1
153,23532,3,1
143,23522,4,2
157,23536,5,2
154,23533,6,2
145,23524,7,3
146,23525,8,3
142,23521,9,3
140,23519,10,3
158,23537,11,4
156,23535,12,4
149,23528,13,4
147,23526,14,4
159,23538,15,4
151,23530,16,4
155,23534,17,4
150,23529,18,4
152,23531,19,4
148,23527,20,4
160,23542,1,1
165,23547,2,1
161,23543,3,1
163,23545,4,2
164,23546,5,2
162,23544,6,2
179,23561,7,3
166,23548,8,3
167,23549,9,3
177,23559,10,3
176,23558,11,4
172,23554,12,4
171,23553,13,4
175,23557,14,4
169,23551,15,4
173,23555,16,4
170,23552,17,4
174,23556,18,4
178,23560,19,4
168,23550,20,4
180,23562,1,1
187,23569,2,1
183,23565,3,1
188,23570,4,2
190,23572,5,2
185,23567,6,2
199,23581,7,3
182,23564,8,3
194,23576,9,3
198,23580,10,3
186,23568,11,4
195,23577,12,4
196,23578,13,4
193,23575,14,4
184,23566,15,4
192,23574,16,4
189,23571,17,4
181,23563,18,4
197,23579,19,4
191,23573,20,4
200,23582,1,1
203,23585,2,1
201,23583,3,1
205,23587,4,2
213,23595,5,2
217,23599,6,2
210,23592,7,3
214,23596,8,3
207,23589,9,3
216,23598,10,3
215,23597,11,4
208,23590,12,4
211,23593,13,4
206,23588,14,4
209,23591,15,4
219,23601,16,4
204,23586,17,4
202,23584,18,4
218,23600,19,4
212,23594,20,4
220,23602,1,1
224,23606,2,1
221,23603,3,1
226,23608,4,2
223,23605,5,2
238,23620,6,2
222,23604,7,3
225,23607,8,3
236,23618,9,3
228,23610,10,3
237,23619,11,4
234,23616,12,4
229,23611,13,4
232,23614,14,4
230,23612,15,4
233,23615,16,4
235,23617,17,4
239,23621,18,4
231,23613,19,4
227,23609,20,4
240,23622,1,1
244,23626,2,1
256,23638,3,1
242,23624,4,2
247,23629,5,2
258,23640,6,2
259,23641,7,3
253,23635,8,3
252,23634,9,3
243,23625,10,3
249,23631,11,4
255,23637,12,4
248,23630,13,4
257,23639,14,4
251,23633,15,4
245,23627,16,4
246,23628,17,4
241,23623,18,4
250,23632,19,4
254,23636,20,4
277,23659,1,1
261,23643,2,1
278,23660,3,1
273,23655,4,2
266,23648,5,2
263,23645,6,2
279,23661,7,3
265,23647,8,3
264,23646,9,3
275,23657,10,3
276,23658,11,4
269,23651,12,4
267,23649,13,4
262,23644,14,4
271,23653,15,4
274,23656,16,4
270,23652,17,4
260,23642,18,4
272,23654,19,4
268,23650,20,4
281,23663,1,1
287,23669,2,1
293,23675,3,1
298,23680,4,2
294,23676,5,2
285,23667,6,2
296,23678,7,3
295,23677,8,3
297,23679,9,3
286,23668,10,3
289,23671,11,4
282,23664,12,4
280,23662,13,4
283,23665,14,4
284,23666,15,4
288,23670,16,4
290,23672,17,4
299,23681,18,4
292,23674,19,4
291,23673,20,4
300,23682,1,1
318,23700,2,1
309,23691,3,1
304,23686,4,2
302,23684,5,2
310,23692,6,2
301,23683,7,3
315,23697,8,3
305,23687,9,3
311,23693,10,3
313,23695,11,4
312,23694,12,4
319,23701,13,4
316,23698,14,4
306,23688,15,4
314,23696,16,4
317,23699,17,4
303,23685,18,4
307,23689,19,4
308,23690,20,4
320,23702,1,1
321,23703,2,1
324,23706,3,1
337,23719,4,2
322,23704,5,2
325,23707,6,2
326,23708,7,3
327,23709,8,3
329,23711,9,3
336,23718,10,3
330,23712,11,4
334,23716,12,4
331,23713,13,4
338,23720,14,4
332,23714,15,4
323,23705,16,4
339,23721,17,4
328,23710,18,4
335,23717,19,4
333,23715,20,4
343,23725,1,1
348,23730,2,1
340,23722,3,1
342,23724,4,2
341,23723,5,2
344,23726,6,2
358,23740,7,3
355,23737,8,3
346,23728,9,3
345,23727,10,3
350,23732,11,4
356,23738,12,4
353,23735,13,4
351,23733,14,4
357,23739,15,4
352,23734,16,4
359,23741,17,4
349,23731,18,4
347,23729,19,4
354,23736,20,4
361,23743,1,1
360,23742,2,1
362,23744,3,1
364,23746,4,2
368,23750,5,2
369,23751,6,2
370,23752,7,3
378,23760,8,3
367,23749,9,3
377,23759,10,3
375,23757,11,4
376,23758,12,4
371,23753,13,4
365,23747,14,4
373,23755,15,4
372,23754,16,4
366,23748,17,4
374,23756,18,4
379,23761,19,4
363,23745,20,4
381,23763,1,1
382,23764,2,1
380,23762,3,1
383,23765,4,2
399,23781,5,2
389,23771,6,2
388,23770,7,3
391,23773,8,3
385,23767,9,3
397,23779,10,3
384,23766,11,4
394,23776,12,4
395,23777,13,4
398,23780,14,4
386,23768,15,4
387,23769,16,4
393,23775,17,4
396,23778,18,4
392,23774,19,4
390,23772,20,4
