,resultId,name,driverRef,constructorRef,Outcome,Bin,CL_Outcome,CL_Bin,SVM_Outcome,SVM_Bin,RNF_Outcome,RNF_Bin,NN_Outcome,NN_Bin
0,23782,Australian Grand Prix,vettel,ferrari,1,1,4,2,17,4,7,3,4,2
1,23783,Australian Grand Prix,hamilton,mercedes,2,1,1,1,1,1,3,1,2,1
2,23784,Australian Grand Prix,raikkonen,ferrari,3,1,3,1,13,4,1,1,7,3
3,23785,Australian Grand Prix,ricciardo,red_bull,4,2,16,4,33,4,8,3,10,3
4,23786,Australian Grand Prix,alonso,mclaren,5,2,18,4,11,4,9,3,14,4
5,23787,Australian Grand Prix,max_verstappen,red_bull,6,2,9,3,36,4,10,3,8,3
6,23788,Australian Grand Prix,hulkenberg,renault,7,3,14,4,34,4,11,4,18,4
7,23789,Australian Grand Prix,bottas,mercedes,8,3,29,4,37,4,12,4,16,4
8,23790,Australian Grand Prix,vandoorne,mclaren,9,3,22,4,31,4,13,4,29,4
9,23791,Australian Grand Prix,sainz,renault,10,3,19,4,32,4,14,4,20,4
10,23792,Australian Grand Prix,perez,force_india,11,4,23,4,30,4,15,4,30,4
11,23793,Australian Grand Prix,ocon,force_india,12,4,28,4,28,4,16,4,33,4
12,23794,Australian Grand Prix,leclerc,sauber,13,4,35,4,24,4,17,4,40,4
13,23795,Australian Grand Prix,stroll,williams,14,4,25,4,29,4,18,4,31,4
14,23796,Australian Grand Prix,brendon_hartley,toro_rosso,15,4,32,4,25,4,19,4,17,4
15,23797,Australian Grand Prix,grosjean,haas,0,4,7,3,2,1,20,4,28,4
16,23798,Australian Grand Prix,kevin_magnussen,haas,0,4,11,4,35,4,21,4,21,4
17,23799,Australian Grand Prix,gasly,toro_rosso,0,4,40,4,22,4,22,4,19,4
18,23800,Australian Grand Prix,ericsson,sauber,0,4,33,4,26,4,23,4,39,4
19,23801,Australian Grand Prix,sirotkin,williams,0,4,38,4,23,4,24,4,36,4
20,23802,Bahrain Grand Prix,vettel,ferrari,1,1,1,1,4,2,1,1,1,1
21,23803,Bahrain Grand Prix,bottas,mercedes,2,1,6,2,28,4,7,3,5,2
22,23804,Bahrain Grand Prix,hamilton,mercedes,3,1,14,4,24,4,8,3,8,3
23,23805,Bahrain Grand Prix,gasly,toro_rosso,4,2,10,3,11,4,9,3,12,4
24,23806,Bahrain Grand Prix,kevin_magnussen,haas,5,2,12,4,40,4,10,3,19,4
25,23807,Bahrain Grand Prix,hulkenberg,renault,6,2,15,4,10,3,11,4,15,4
26,23808,Bahrain Grand Prix,alonso,mclaren,7,3,23,4,8,3,12,4,16,4
27,23809,Bahrain Grand Prix,vandoorne,mclaren,8,3,29,4,9,3,13,4,29,4
28,23810,Bahrain Grand Prix,ericsson,sauber,9,3,34,4,20,4,14,4,40,4
29,23811,Bahrain Grand Prix,ocon,force_india,10,3,17,4,7,3,15,4,27,4
30,23812,Bahrain Grand Prix,sainz,renault,11,4,21,4,12,4,16,4,24,4
31,23813,Bahrain Grand Prix,leclerc,sauber,12,4,39,4,21,4,17,4,39,4
32,23814,Bahrain Grand Prix,grosjean,haas,13,4,28,4,39,4,18,4,34,4
