,resultId,SVM_Outcome,SVM_Bin
1,23783,1,1
15,23797,2,1
421,24204,3,1
422,24205,4,2
423,24206,5,2
431,24214,6,2
433,24216,7,3
424,24207,8,3
426,24209,9,3
438,24221,10,3
4,23786,11,4
429,24212,12,4
2,23784,13,4
439,24222,14,4
427,24210,15,4
436,24219,16,4
0,23782,17,4
430,24213,18,4
435,24218,19,4
437,24220,20,4
434,24217,21,4
17,23799,22,4
19,23801,23,4
12,23794,24,4
14,23796,25,4
18,23800,26,4
420,24203,27,4
11,23793,28,4
13,23795,29,4
10,23792,30,4
8,23790,31,4
9,23791,32,4
3,23785,33,4
6,23788,34,4
16,23798,35,4
5,23787,36,4
7,23789,37,4
425,24208,38,4
432,24215,39,4
428,24211,40,4
440,24223,1,1
459,24242,2,1
455,24238,3,1
20,23802,4,2
37,23819,5,2
446,24229,6,2
29,23811,7,3
26,23808,8,3
27,23809,9,3
25,23807,10,3
23,23805,11,4
30,23812,12,4
39,23821,13,4
36,23818,14,4
35,23817,15,4
444,24227,16,4
38,23820,17,4
34,23816,18,4
33,23815,19,4
28,23810,20,4
31,23813,21,4
454,24237,22,4
456,24239,23,4
22,23804,24,4
451,24234,25,4
447,24230,26,4
448,24231,27,4
21,23803,28,4
457,24240,29,4
445,24228,30,4
458,24241,31,4
450,24233,32,4
442,24225,33,4
443,24226,34,4
452,24235,35,4
441,24224,36,4
449,24232,37,4
453,24236,38,4
32,23814,39,4
24,23806,40,4
460,24243,1,1
43,23825,2,1
461,24244,3,1
47,23829,4,2
42,23824,5,2
41,23823,6,2
462,24245,7,3
469,24252,8,3
464,24247,9,3
463,24246,10,3
44,23826,11,4
465,24248,12,4
40,23822,13,4
45,23827,14,4
466,24249,15,4
51,23833,16,4
479,24262,17,4
48,23830,18,4
478,24261,19,4
50,23832,20,4
52,23834,21,4
46,23828,22,4
473,24256,23,4
477,24260,24,4
59,23841,25,4
54,23836,26,4
475,24258,27,4
57,23839,28,4
53,23835,29,4
476,24259,30,4
58,23840,31,4
55,23837,32,4
468,24251,33,4
474,24257,34,4
470,24253,35,4
56,23838,36,4
472,24255,37,4
49,23831,38,4
467,24250,39,4
471,24254,40,4
480,24263,1,1
73,23855,2,1
481,24264,3,1
485,24268,4,2
60,23842,5,2
489,24272,6,2
492,24275,7,3
496,24279,8,3
488,24271,9,3
483,24266,10,3
495,24278,11,4
498,24281,12,4
484,24267,13,4
76,23858,14,4
487,24270,15,4
75,23857,16,4
482,24265,17,4
491,24274,18,4
486,24269,19,4
490,24273,20,4
499,24282,21,4
63,23845,22,4
78,23860,23,4
72,23854,24,4
62,23844,25,4
494,24277,26,4
493,24276,27,4
64,23846,28,4
65,23847,29,4
67,23849,30,4
497,24280,31,4
79,23861,32,4
70,23852,33,4
77,23859,34,4
71,23853,35,4
68,23850,36,4
69,23851,37,4
61,23843,38,4
66,23848,39,4
74,23856,40,4
80,23862,1,1
500,24283,2,1
81,23863,3,1
512,24295,4,2
504,24287,5,2
502,24285,6,2
507,24290,7,3
83,23865,8,3
510,24293,9,3
519,24302,10,3
505,24288,11,4
503,24286,12,4
508,24291,13,4
96,23878,14,4
82,23864,15,4
511,24294,16,4
84,23866,17,4
86,23868,18,4
94,23876,19,4
98,23880,20,4
97,23879,21,4
95,23877,22,4
89,23871,23,4
516,24299,24,4
88,23870,25,4
517,24300,26,4
99,23881,27,4
87,23869,28,4
90,23872,29,4
92,23874,30,4
93,23875,31,4
91,23873,32,4
501,24284,33,4
513,24296,34,4
515,24298,35,4
509,24292,36,4
85,23867,37,4
506,24289,38,4
518,24301,39,4
514,24297,40,4
520,24306,1,1
522,24308,2,1
102,23884,3,1
100,23882,4,2
101,23883,5,2
