,resultId,name,driverRef,constructorRef,Outcome,Bin,CL_Outcome,CL_Bin
2,24203,Australian Grand Prix,bottas,mercedes,1,1,3,1
0,24204,Australian Grand Prix,hamilton,mercedes,2,1,1,1
4,24205,Australian Grand Prix,max_verstappen,red_bull,3,1,5,2
1,24206,Australian Grand Prix,vettel,ferrari,4,2,2,1
5,24207,Australian Grand Prix,leclerc,ferrari,5,2,6,2
6,24208,Australian Grand Prix,kevin_magnussen,haas,6,2,7,3
10,24209,Australian Grand Prix,hulkenberg,renault,7,3,11,4
7,24210,Australian Grand Prix,raikkonen,alfa,8,3,8,3
15,24211,Australian Grand Prix,stroll,racing_point,9,3,16,4
14,24212,Australian Grand Prix,kvyat,toro_rosso,10,3,15,4
16,24213,Australian Grand Prix,gasly,red_bull,11,4,17,4
8,24214,Australian Grand Prix,norris,mclaren,12,4,9,3
9,24215,Australian Grand Prix,perez,racing_point,13,4,10,3
12,24216,Australian Grand Prix,albon,toro_rosso,14,4,13,4
13,24217,Australian Grand Prix,giovinazzi,alfa,15,4,14,4
19,24218,Australian Grand Prix,russell,williams,16,4,20,4
18,24219,Australian Grand Prix,kubica,williams,17,4,19,4
3,24220,Australian Grand Prix,grosjean,haas,0,4,4,2
11,24221,Australian Grand Prix,ricciardo,renault,0,4,12,4
17,24222,Australian Grand Prix,sainz,mclaren,0,4,18,4
21,24223,Bahrain Grand Prix,hamilton,mercedes,1,1,2,1
23,24224,Bahrain Grand Prix,bottas,mercedes,2,1,4,2
22,24225,Bahrain Grand Prix,leclerc,ferrari,3,1,3,1
24,24226,Bahrain Grand Prix,max_verstappen,red_bull,4,2,5,2
20,24227,Bahrain Grand Prix,vettel,ferrari,5,2,1,1
29,24228,Bahrain Grand Prix,norris,mclaren,6,2,10,3
26,24229,Bahrain Grand Prix,raikkonen,alfa,7,3,7,3
32,24230,Bahrain Grand Prix,gasly,red_bull,8,3,13,4
31,24231,Bahrain Grand Prix,albon,toro_rosso,9,3,12,4
33,24232,Bahrain Grand Prix,perez,racing_point,10,3,14,4
35,24233,Bahrain Grand Prix,giovinazzi,alfa,11,4,16,4
34,24234,Bahrain Grand Prix,kvyat,toro_rosso,12,4,15,4
25,24235,Bahrain Grand Prix,kevin_magnussen,haas,13,4,6,2
37,24236,Bahrain Grand Prix,stroll,racing_point,14,4,18,4
39,24237,Bahrain Grand Prix,russell,williams,15,4,20,4
38,24238,Bahrain Grand Prix,kubica,williams,16,4,19,4
36,24239,Bahrain Grand Prix,hulkenberg,renault,0,4,17,4
30,24240,Bahrain Grand Prix,ricciardo,renault,0,4,11,4
27,24241,Bahrain Grand Prix,sainz,mclaren,0,4,8,3
28,24242,Bahrain Grand Prix,grosjean,haas,0,4,9,3
40,24243,Chinese Grand Prix,hamilton,mercedes,1,1,1,1
42,24244,Chinese Grand Prix,bottas,mercedes,2,1,3,1
43,24245,Chinese Grand Prix,vettel,ferrari,3,1,4,2
45,24246,Chinese Grand Prix,max_verstappen,red_bull,4,2,6,2
44,24247,Chinese Grand Prix,leclerc,ferrari,5,2,5,2
46,24248,Chinese Grand Prix,gasly,red_bull,6,2,7,3
47,24249,Chinese Grand Prix,ricciardo,renault,7,3,8,3
53,24250,Chinese Grand Prix,perez,racing_point,8,3,14,4
