,resultId,raceId,name,year,circuitId,driverId,constructorId,starting_position,finishing_status,train_test,ending_position
20323,20323,337,Bahrain Grand Prix,2010,3,4,6,3,1,1,1
20324,20324,337,Bahrain Grand Prix,2010,3,13,6,2,1,1,2
20325,20325,337,Bahrain Grand Prix,2010,3,1,1,4,1,1,3
20326,20326,337,Bahrain Grand Prix,2010,3,20,9,1,1,1,4
20327,20327,337,Bahrain Grand Prix,2010,3,3,131,5,1,1,5
20328,20328,337,Bahrain Grand Prix,2010,3,30,131,7,1,1,6
20329,20329,337,Bahrain Grand Prix,2010,3,18,1,8,1,1,7
20330,20330,337,Bahrain Grand Prix,2010,3,17,9,6,1,1,8
20331,20331,337,Bahrain Grand Prix,2010,3,24,10,12,1,1,9
20332,20332,337,Bahrain Grand Prix,2010,3,22,3,11,1,1,10
20333,20333,337,Bahrain Grand Prix,2010,3,9,4,9,1,1,11
20334,20334,337,Bahrain Grand Prix,2010,3,16,10,10,1,1,12
20335,20335,337,Bahrain Grand Prix,2010,3,153,5,18,1,1,13
20336,20336,337,Bahrain Grand Prix,2010,3,807,3,13,1,1,14
20337,20337,337,Bahrain Grand Prix,2010,3,5,205,21,1,1,15
20338,20338,337,Bahrain Grand Prix,2010,3,67,5,15,2,1,16
20339,20339,337,Bahrain Grand Prix,2010,3,15,205,20,2,1,17
20340,20340,337,Bahrain Grand Prix,2010,3,37,15,14,2,1,0
20341,20341,337,Bahrain Grand Prix,2010,3,811,164,23,2,1,0
20342,20342,337,Bahrain Grand Prix,2010,3,10,166,19,2,1,0
20343,20343,337,Bahrain Grand Prix,2010,3,808,4,17,2,1,0
20344,20344,337,Bahrain Grand Prix,2010,3,155,15,16,2,1,0
20345,20345,337,Bahrain Grand Prix,2010,3,810,166,22,2,1,0
20346,20346,337,Bahrain Grand Prix,2010,3,812,164,24,2,1,0
20347,20347,338,Australian Grand Prix,2010,1,18,1,4,1,1,1
20348,20348,338,Australian Grand Prix,2010,1,9,4,9,1,1,2
20349,20349,338,Australian Grand Prix,2010,1,13,6,5,1,1,3
20350,20350,338,Australian Grand Prix,2010,1,4,6,3,1,1,4
20351,20351,338,Australian Grand Prix,2010,1,3,131,6,1,1,5
20352,20352,338,Australian Grand Prix,2010,1,1,1,11,1,1,6
20353,20353,338,Australian Grand Prix,2010,1,24,10,13,1,1,7
20354,20354,338,Australian Grand Prix,2010,1,22,3,8,1,1,8
20355,20355,338,Australian Grand Prix,2010,1,17,9,2,1,1,9
20356,20356,338,Australian Grand Prix,2010,1,30,131,7,1,1,10
20357,20357,338,Australian Grand Prix,2010,1,153,5,17,1,1,11
20358,20358,338,Australian Grand Prix,2010,1,37,15,14,1,1,12
20359,20359,338,Australian Grand Prix,2010,1,5,205,19,1,1,13
20360,20360,338,Australian Grand Prix,2010,1,812,164,22,1,1,14
20361,20361,338,Australian Grand Prix,2010,1,10,166,23,2,1,0
20362,20362,338,Australian Grand Prix,2010,1,810,166,24,2,1,0
20363,20363,338,Australian Grand Prix,2010,1,20,9,1,2,1,0
20364,20364,338,Australian Grand Prix,2010,1,16,10,10,2,1,0
20365,20365,338,Australian Grand Prix,2010,1,808,4,18,2,1,0
20366,20366,338,Australian Grand Prix,2010,1,811,164,21,2,1,0
20367,20367,338,Australian Grand Prix,2010,1,67,5,12,2,1,0
